issuer
江苏盛泽投资有限公司
江苏银行股份有限公司
江苏资产管理有限公司
江西省投资集团有限公司
江西万年青水泥股份有限公司
江西银行股份有限公司
交通银行股份有限公司
晋商银行股份有限公司
京东数科-华泰资管24号京东白条应收账款债权资产支持专项计划
九江市城市建设投资有限公司
开滦(集团)有限责任公司
昆仑银行股份有限公司
利尔化学股份有限公司
泸州老窖股份有限公司
鲁泰纺织股份有限公司
绿城房地产集团有限公司
洛阳城乡建设投资集团有限公司
内蒙古高等级公路建设开发有限责任公司
内蒙古蒙电华能热电股份有限公司
南京江宁科学园发展有限公司
南京浦口城乡建设集团有限公司
南京浦口交通建设集团有限公司
南京浦口经济开发有限公司
南京浦口康居建设集团有限公司
南京软件谷发展有限公司
南京市浦口区国有资产投资经营有限公司
南京未来科技城经济发展有限公司
南京银行股份有限公司
宁波大榭开发有限公司
宁波市国际贸易投资发展有限公司
宁波市海曙广聚资产经营有限公司
宁波市雪窦开发投资集团有限公司
宁波市鄞城集团有限责任公司
宁波市镇海区海江投资发展有限公司
宁波溪口雪窦山风景名胜区开发建设有限公司
宁波银行股份有限公司
欧派家居集团股份有限公司
平安国际融资租赁有限公司
平安普惠融资担保有限公司
平安银行股份有限公司
平安租赁1号汽车交易资产支持专项计划
平湖市国有资产控股集团有限公司
青岛城市建设投资(集团)有限责任公司
青岛华通国有资本运营(集团)有限责任公司
青岛金水控股集团有限公司
青岛西海岸新区海洋控股集团有限公司
青岛银行股份有限公司
泉州台商投资区开发建设有限责任公司
山东钢铁集团有限公司
山东高速集团有限公司
山东能源集团有限公司
山东省财金投资集团有限公司
山东省金融资产管理股份有限公司
山东太阳纸业股份有限公司
山西潞安矿业(集团)有限责任公司
山西省交通开发投资集团有限公司
山西天然气有限公司
陕西煤业化工集团有限责任公司
陕西省交通建设集团公司
陕西投资集团有限公司
陕西有色金属控股集团有限责任公司
上海大宁资产经营(集团)有限公司
上海电力股份有限公司
上海环境集团股份有限公司
上海农村商业银行股份有限公司
上海璞泰来新能源科技股份有限公司
上海浦东发展银行股份有限公司
上海汽车集团财务有限责任公司
上海实业发展股份有限公司
上海世茂建设有限公司
上海外滩投资开发(集团)有限公司
上海现代制药股份有限公司
上海银行股份有限公司
上和2019年第三期个人汽车抵押贷款资产支持证券
绍兴袍江工业区投资开发有限公司
绍兴市柯桥区城建投资开发集团有限公司
绍兴市上虞区国有资本投资运营有限公司
深圳农村商业银行股份有限公司
深圳市龙光控股有限公司
深圳市人才安居集团有限公司
深圳市赛格集团有限公司
深圳市特发集团有限公司
首钢集团有限公司
四川发展(控股)有限责任公司
苏州创元投资发展(集团)有限公司
苏州市恒澄建设发展有限公司
苏州市三角咀生态园开发有限公司
苏州市吴江交通投资集团有限公司
苏州市吴中交通投资建设有限公司
苏州银行股份有限公司
随州市城市投资集团有限公司
太仓市水务集团有限公司
太仓市资产经营集团有限公司
桃李面包股份有限公司
天津城市基础设施建设投资集团有限公司
天津市西青经济开发总公司
桐庐县国有资产投资经营有限公司
万科企业股份有限公司
无锡市国联发展(集团)有限公司
无锡市太湖新城发展集团有限公司
芜湖经济技术开发区建设投资公司
芜湖市建设投资有限公司
武汉新港建设投资开发集团有限公司
物美科技集团有限公司
西安高新控股有限公司
西安银行股份有限公司
西南水泥有限公司
厦门航空有限公司
厦门银行股份有限公司
厦门住宅建设集团有限公司
仙鹤股份有限公司
仙居县国有资产投资集团有限公司
新疆伊力特实业股份有限公司
新汶矿业集团有限责任公司
信达地产股份有限公司
信达投资有限公司
兴业银行股份有限公司
兴银2020年第三期信贷资产支持证券
许昌远东传动轴股份有限公司
阳泉煤业(集团)有限责任公司
一心堂药业集团股份有限公司
宜昌城市建设投资控股集团有限公司
宜昌高新投资开发有限公司
余姚市城市建设投资发展有限公司
玉环市交通投资集团有限公司
远东国际融资租赁有限公司
远洋控股集团(中国)有限公司
云南恩捷新材料股份有限公司
招商局港口集团股份有限公司
招商局公路网络科技控股股份有限公司
招商局集团有限公司
招商银行股份有限公司
招商证券股份有限公司
浙江杭州青山湖科技城投资集团有限公司
浙江吉利控股集团有限公司
浙江省能源集团有限公司
浙江余姚工业园区开发建设投资有限公司
浙商银行股份有限公司
郑州航空港兴港投资集团有限公司
郑州银行股份有限公司
中材科技股份有限公司
中电建水电开发集团有限公司
中广核风电有限公司
中国兵器装备集团有限公司
中国长城科技集团股份有限公司
中国诚通控股集团有限公司
中国船舶工业集团有限公司
中国船舶重工集团应急预警与救援装备股份有限公司
中国大唐集团有限公司
中国葛洲坝集团股份有限公司
中国光大银行股份有限公司
中国航天科工集团有限公司
中国核能电力股份有限公司
中国化工集团有限公司
中国建材股份有限公司
中国建筑第六工程局有限公司
中国建筑股份有限公司
中国节能环保集团有限公司
中国巨石股份有限公司
中国蓝星(集团)股份有限公司
中国铝业集团有限公司
中国民生银行股份有限公司
中国南方电网有限责任公司
中国农业银行股份有限公司
中国石油天然气集团有限公司
中国五矿集团有限公司
中航国际租赁有限公司
中航资本控股股份有限公司
中化化肥有限公司
中建方程投资发展集团有限公司
中建投租赁股份有限公司
中交房地产集团有限公司
中粮置业投资有限公司
中山证券-碧桂园1期资产支持专项计划
中泰证券股份有限公司
中信建投天信和融第二期资产支持专项计划
中信建投天信和融第三期资产支持专项计划
中信银行股份有限公司
中证信用增进股份有限公司
重庆高速公路集团有限公司
重庆高新区开发投资集团有限公司
重庆建工集团股份有限公司
重庆龙湖企业拓展有限公司
重庆农村商业银行股份有限公司
重庆市涪陵国有资产投资经营集团有限公司
重庆市国有文化资产经营管理有限责任公司
重庆市蚂蚁小微小额贷款有限公司
重庆银行股份有限公司
珠海大横琴集团有限公司
珠海华发集团有限公司
珠海华发实业股份有限公司
珠海华发综合发展有限公司
珠海华润银行股份有限公司
诸暨市国有资产经营有限公司
